"time","M","Y","Z","I"
287,638.407,43.207,13.9185,344
288,646.566,43.1563,13.8877,347
289,651.21,43.156,13.8673,348
290,654.489,43.1664,13.8397,347
291,655.64,43.1713,13.7959,346
292,649.476,43.1449,13.7526,347
293,661.028,43.1646,13.7004,344
294,653.425,43.1293,13.6604,344
295,643.883,43.0313,13.6606,344
296,642.495,42.9462,13.6487,345
297,654.745,42.9308,13.6095,343
298,669.371,42.9931,13.5588,341
299,662.734,42.9777,13.5429,339
300,659.46,42.9288,13.5428,338
301,656.514,42.8525,13.5461,337
302,653.863,42.7786,13.5476,338
303,655.076,42.7209,13.5393,338
304,643.569,42.6028,13.5455,339
305,643.112,42.5064,13.5344,340
306,660.701,42.5287,13.5037,339
307,680.131,42.682,13.477,339
308,682.318,42.834,13.4721,339
309,677.986,42.979,13.4917,342
310,665.087,42.9812,13.4868,339
311,652.579,42.9471,13.4715,343
312,645.821,42.845,13.4476,341
313,635.239,42.6928,13.4244,342
314,624.815,42.4608,13.4063,340
315,625.333,42.2571,13.3692,340
316,633.9,42.146,13.339,341
317,641.61,42.0755,13.3459,339
318,633.249,41.9069,13.3941,335
319,642.824,41.8333,13.4418,336
320,639.742,41.7832,13.4873,339
321,663.067,41.8859,13.488,338
322,671.461,42.0351,13.4773,338
323,673.615,42.2089,13.4452,340
324,674.653,42.3586,13.3975,339
325,695.388,42.648,13.3247,340
326,684.349,42.8176,13.2607,339
327,685.214,42.9751,13.2259,339
328,686.893,43.0881,13.2037,336
329,683.003,43.1626,13.1508,336
330,675.903,43.2195,13.1277,339
331,660.513,43.1648,13.112,339
332,648.462,43.0085,13.1442,337
333,653.815,42.8928,13.191,336
334,654.134,42.8041,13.2456,337
335,652.62,42.7144,13.2926,337
336,651.258,42.625,13.3834,337
337,671.633,42.6841,13.4366,337
338,662.069,42.6464,13.486,335
339,671.462,42.6508,13.5215,333
340,658.316,42.5911,13.5449,335
341,645.585,42.4761,13.5627,337
342,641.326,42.3442,13.5456,337
343,647.393,42.28,13.4965,338
344,649.254,42.2354,13.4602,338
345,650.929,42.2193,13.4324,339
346,637.136,42.1467,13.4042,342
347,636.422,42.089,13.3762,343
348,630.38,42.0075,13.3947,344
349,630.342,41.9463,13.3829,345
350,650.108,42.0298,13.3843,345
351,657.097,42.1281,13.3656,343
352,651.687,42.1908,13.3294,344
353,656.719,42.2819,13.288,344
354,654.047,42.3447,13.2679,344
355,657.942,42.4029,13.2539,342
356,655.148,42.448,13.2489,343
357,655.333,42.4772,13.2261,342
358,657.3,42.5168,13.208,342
359,650.97,42.5084,13.1824,342
360,666.873,42.6365,13.1632,344
361,668.586,42.7629,13.1894,344
362,670.127,42.9122,13.2202,346
